,CIK,end_date,Name,CUSIP,Market value,Share,symbol,amend_x,period_focus_x,fiscal_year_x,doc_type_x,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
153,1061768,201609,CONYERS PK ACQUISITION,212894117,1423,1237500,CPAAU,,,,,,,,,,,,,,,,,,
154,1061768,201609,CONYERS PK ACQUISITION,212894109,37125,3712500,CPAAU,,,,,,,,,,,,,,,,,,
155,1061768,201609,DELL TECHNOLOGIES INC,24703L103,317988,6652459,DELL,,,,,,,,,,,,,,,,,,
156,1061768,201609,TOBIRA THERAPEUTICS INC,88883P101,6391,160829,TBRA,,,,,,,,,,,,,,,,,,
162,1061768,201612,LIBERTY MEDIA CORP DELAWARE,531229706,16392,800000,LSXMK,,,,,,,,,,,,,,,,,,
163,1061768,201612,LIBERTY MEDIA CORP DELAWARE,531229888,61647,2994010,LSXMK,,,,,,,,,,,,,,,,,,
170,1061768,201612,TWENTY FIRST CENTY FOX INC,90130A101,536615,19137469,FOX,,,,,,,,,,,,,,,,,,
171,1061768,201612,TWENTY FIRST CENTY FOX INC,90130A200,198328,7278100,FOX,,,,,,,,,,,,,,,,,,
175,1061768,201612,FORWARD PHARMA A/S,34986J105,80510,5367300,FWP,,,,,,,,,,,,,,,,,,
176,1061768,201612,LIBERTY INTERACTIVE CORP,53071M856,54631,1481719,QVCA,,,,,,,,,,,,,,,,,,
177,1061768,201612,CHIPMOS TECHNOLOGIES INC,16965P103,49524,3509858,IMOS,,,,,,,,,,,,,,,,,,
178,1061768,201612,CONYERS PK ACQUISITION,212894117,2475,1237500,CPAAU,,,,,,,,,,,,,,,,,,
179,1061768,201612,CONYERS PK ACQUISITION,212894109,37979,3712500,CPAAU,,,,,,,,,,,,,,,,,,
180,1061768,201612,DELL TECHNOLOGIES INC,24703L103,365686,6652459,DELL,,,,,,,,,,,,,,,,,,
181,1061768,201612,GTY TECHNOLOGY HOLDINGS INC,G4182A110,46200,4400000,GTYH,,,,,,,,,,,,,,,,,,
182,1061768,201612,LIBERTY EXPEDIA HOLDINGS,53046P109,15694,395613,LEXEA,,,,,,,,,,,,,,,,,,
183,1061768,201612,SYNGENTA AG,87160A100,58903,745136,SYNN,,,,,,,,,,,,,,,,,,
194,1061768,201812,TWENTY FIRST CENTY FOX INC,90130A101,2467650,51281167,FOX,,,,,,,,,,,,,,,,,,
195,1061768,201812,TWENTY FIRST CENTY FOX INC,90130A200,814215,17040922,FOX,,,,,,,,,,,,,,,,,,
197,1061768,201812,SHIRE PLC,82481R106,80141,460473,SHPG,,,,,,,,,,,,,,,,,,
198,1061768,201812,GTY TECHNOLOGY HOLDINGS INC,G4182A128,1143,1466666,GTYH,,,,,,,,,,,,,,,,,,
199,1061768,201812,SENTINEL ENERGY SVCS INC,81728P204,16480,1600000,STNLU,,,,,,,,,,,,,,,,,,
200,1061768,201812,NEXEO SOLUTIONS INC,65342H110,4000,10000000,NXEO,,,,,,,,,,,,,,,,,,
201,1061768,201812,YPF SOCIEDAD ANONIMA,984245100,80340,6000000,YPF,,,,,,,,,,,,,,,,,,
215,1061768,201803,TWENTY FIRST CENTY FOX INC,90130A101,975541,26588731,FOX,,,,,,,,,,,,,,,,,,
216,1061768,201803,TWENTY FIRST CENTY FOX INC,90130A200,415831,11433358,FOX,,,,,,,,,,,,,,,,,,
219,1061768,201803,FORWARD PHARMA A/S,34986J105,6180,2848003,FWP,,,,,,,,,,,,,,,,,,
220,1061768,201803,CHIPMOS TECHNOLOGIES INC,16965P103,14798,933658,IMOS,,,,,,,,,,,,,,,,,,
221,1061768,201803,GTY TECHNOLOGY HOLDINGS INC,G4182A110,45540,4400000,GTYH,,,,,,,,,,,,,,,,,,
222,1061768,201803,SENTINEL ENERGY SVCS INC,G8062D128,15872,1600000,STNLU,,,,,,,,,,,,,,,,,,
236,1061768,201806,TWENTY FIRST CENTY FOX INC,90130A101,1958573,39415829,FOX,,,,,,,,,,,,,,,,,,
237,1061768,201806,TWENTY FIRST CENTY FOX INC,90130A200,670380,13606260,FOX,,,,,,,,,,,,,,,,,,
238,1061768,201806,SHIRE PLC,82481R106,16700,98932,SHPG,,,,,,,,,,,,,,,,,,
240,1061768,201806,GTY TECHNOLOGY HOLDINGS INC,G4182A110,45892,4400000,GTYH,,,,,,,,,,,,,,,,,,
241,1061768,201806,SENTINEL ENERGY SVCS INC,G8062D128,16144,1600000,STNLU,,,,,,,,,,,,,,,,,,
253,1061768,201709,TWENTY FIRST CENTY FOX INC,90130A101,504846,19137469,FOX,,,,,,,,,,,,,,,,,,
254,1061768,201709,TWENTY FIRST CENTY FOX INC,90130A200,190447,7384542,FOX,,,,,,,,,,,,,,,,,,
258,1061768,201709,FORWARD PHARMA A/S,34986J105,39232,6463265,FWP,,,,,,,,,,,,,,,,,,
259,1061768,201709,CHIPMOS TECHNOLOGIES INC,16965P103,58893,3048295,IMOS,,,,,,,,,,,,,,,,,,
260,1061768,201709,DELL TECHNOLOGIES INC,24703L103,235680,3052459,DELL,,,,,,,,,,,,,,,,,,
261,1061768,201709,GTY TECHNOLOGY HOLDINGS INC,G4182A110,46024,4400000,GTYH,,,,,,,,,,,,,,,,,,
262,1061768,201709,SILVER RUN ACQUISITION,82812A103,21880,2149352,SRUNU,,,,,,,,,,,,,,,,,,
263,1061768,201709,SIMPLY GOOD FOODS CO,82900L110,2458,1035146,SMPL,,,,,,,,,,,,,,,,,,
267,1061768,201703,LIBERTY MEDIA CORP DELAWARE,531229888,47158,1994010,LSXMK,,,,,,,,,,,,,,,,,,
275,1061768,201703,TWENTY FIRST CENTY FOX INC,90130A101,619863,19137469,FOX,,,,,,,,,,,,,,,,,,
276,1061768,201703,TWENTY FIRST CENTY FOX INC,90130A200,231298,7278100,FOX,,,,,,,,,,,,,,,,,,
280,1061768,201703,FORWARD PHARMA A/S,34986J105,119927,5575407,FWP,,,,,,,,,,,,,,,,,,
281,1061768,201703,LIBERTY INTERACTIVE CORP,53071M856,65907,1481719,QVCA,,,,,,,,,,,,,,,,,,
282,1061768,201703,CHIPMOS TECHNOLOGIES INC,16965P103,62300,3509858,IMOS,,,,,,,,,,,,,,,,,,
283,1061768,201703,CONYERS PK ACQUISITION,212894117,2537,1237500,CPAAU,,,,,,,,,,,,,,,,,,
284,1061768,201703,CONYERS PK ACQUISITION,212894109,39353,3712500,CPAAU,,,,,,,,,,,,,,,,,,
285,1061768,201703,DELL TECHNOLOGIES INC,24703L103,362210,5652459,DELL,,,,,,,,,,,,,,,,,,
286,1061768,201703,GTY TECHNOLOGY HOLDINGS INC,G4182A110,45408,4400000,GTYH,,,,,,,,,,,,,,,,,,
287,1061768,201703,SYNGENTA AG,87160A100,46725,527968,SYNN,,,,,,,,,,,,,,,,,,
288,1061768,201703,SILVER RUN ACQUISITION,82812A202,69000,6615554,SRUNU,,,,,,,,,,,,,,,,,,
307,1061768,201506,SUNEDISON SEMICONDUCTOR LTD,Y8213L102,143306,8297979,SUNEQ,,,,,,,,,,,,,,,,,,
308,1061768,201506,CHIPMOS TECH BERMUDA LTD,G2110R114,71706,3283235,IMOS,,,,,,,,,,,,,,,,,,
309,1061768,201506,FORWARD PHARMA A/S,34986J105,204226,5367300,FWP,,,,,,,,,,,,,,,,,,
310,1061768,201506,ALLIANCE ONE INTL INC,18772301,15263,638364,AOI,,,,,,,,,,,,,,,,,,
311,1061768,201506,BELLATRIX EXPLORATION LTD,78314101,50888,21840500,BXE.TO,,,,,,,,,,,,,,,,,,
312,1061768,201506,BIOTIE THERAPIES OYJ,09074D103,17367,869643,BITI,,,,,,,,,,,,,,,,,,
313,1061768,201506,SANCHEZ ENERGY CORP,79970Y105,6071,619505,SCAZP,,,,,,,,,,,,,,,,,,
331,1061768,201503,SUNEDISON SEMICONDUCTOR LTD,Y8213L102,203926,7897979,SUNEQ,,,,,,,,,,,,,,,,,,
333,1061768,201503,CHIPMOS TECH BERMUDA LTD,G2110R114,80965,3283235,IMOS,,,,,,,,,,,,,,,,,,
334,1061768,201503,FORWARD PHARMA A/S,34986J105,152002,5367300,FWP,,,,,,,,,,,,,,,,,,
335,1061768,201503,ALLIANCE ONE INTL INC,18772103,7022,6383641,AOI,,,,,,,,,,,,,,,,,,
336,1061768,201503,BELLATRIX EXPLORATION LTD,78314101,53072,21840500,BXE.TO,,,,,,,,,,,,,,,,,,
349,1061768,201603,TWENTY FIRST CENTY FOX INC,90130A101,214590,7696922,FOX,,,,,,,,,,,,,,,,,,
350,1061768,201603,TWENTY FIRST CENTY FOX INC,90130A200,205242,7278100,FOX,,,,,,,,,,,,,,,,,,
353,1061768,201603,CHIPMOS TECH BERMUDA LTD,G2110R114,65207,3751853,IMOS,,,,,,,,,,,,,,,,,,
354,1061768,201603,FORWARD PHARMA A/S,34986J105,91244,5367300,FWP,,,,,,,,,,,,,,,,,,
355,1061768,201603,SILVER RUN ACQUISITION CORP,82811P200,38813,3750000,SRUNU,,,,,,,,,,,,,,,,,,
356,1061768,201603,SUNEDISON SEMICONDUCTOR LTD,Y8213L102,54257,8372979,SUNEQ,,,,,,,,,,,,,,,,,,
357,1061768,201603,BELLATRIX EXPLORATION LTD,78314101,8740,8653281,BXE.TO,,,,,,,,,,,,,,,,,,
358,1061768,201603,BIOTIE THERAPIES OYJ,09074D103,36814,1395000,BITI,,,,,,,,,,,,,,,,,,
359,1061768,201603,LA QUINTA HLDGS INC,50420D108,13888,1111000,LQ,,,,,,,,,,,,,,,,,,
374,1061768,201512,TWENTY FIRST CENTY FOX INC,90130A101,111288,4097500,FOX,,,,,,,,,,,,,,,,,,
375,1061768,201512,TWENTY FIRST CENTY FOX INC,90130A200,177744,6527500,FOX,,,,,,,,,,,,,,,,,,
378,1061768,201512,CHIPMOS TECH BERMUDA LTD,G2110R114,74287,3751853,IMOS,,,,,,,,,,,,,,,,,,
379,1061768,201512,FORWARD PHARMA A/S,34986J105,101979,5367300,FWP,,,,,,,,,,,,,,,,,,
380,1061768,201512,SUNEDISON SEMICONDUCTOR LTD,Y8213L102,65644,8372979,SUNEQ,,,,,,,,,,,,,,,,,,
381,1061768,201512,BELLATRIX EXPLORATION LTD,78314101,29029,23990500,BXE.TO,,,,,,,,,,,,,,,,,,
382,1061768,201512,BIOTIE THERAPIES OYJ,09074D103,20018,1395000,BITI,,,,,,,,,,,,,,,,,,
383,1061768,201512,SANCHEZ ENERGY CORP,79970Y105,8620,2000000,SCAZP,,,,,,,,,,,,,,,,,,
394,1061768,201509,TWENTY FIRST CENTY FOX INC,90130A101,110551,4097500,FOX,,,,,,,,,,,,,,,,,,
395,1061768,201509,TWENTY FIRST CENTY FOX INC,90130A200,176699,6527500,FOX,,,,,,,,,,,,,,,,,,
400,1061768,201509,CHIPMOS TECH BERMUDA LTD,G2110R114,61605,3751853,IMOS,,,,,,,,,,,,,,,,,,
401,1061768,201509,FORWARD PHARMA A/S,34986J105,126454,5367300,FWP,,,,,,,,,,,,,,,,,,
402,1061768,201509,SUNEDISON SEMICONDUCTOR LTD,Y8213L102,88251,8372979,SUNEQ,,,,,,,,,,,,,,,,,,
403,1061768,201509,ALLIANCE ONE INTL INC,18772301,9341,458364,AOI,,,,,,,,,,,,,,,,,,
404,1061768,201509,BELLATRIX EXPLORATION LTD,78314101,36466,23990500,BXE.TO,,,,,,,,,,,,,,,,,,
405,1061768,201509,BIOTIE THERAPIES OYJ,09074D103,16441,1256006,BITI,,,,,,,,,,,,,,,,,,
406,1061768,201509,SANCHEZ ENERGY CORP,79970Y105,6150,1000000,SCAZP,,,,,,,,,,,,,,,,,,
407,1061768,201509,AERCAP HOLDINGS NV,N00985106,93688,2450000,AER,,,,,,,,,,,,,,,,,,
410,1061768,201606,LIBERTY MEDIA CORP DELAWARE,531229706,12032,800000,LSXMK,,,,,,,,,,,,,,,,,,
411,1061768,201606,LIBERTY MEDIA CORP DELAWARE,531229888,43892,2994010,LSXMK,,,,,,,,,,,,,,,,,,
420,1061768,201606,TWENTY FIRST CENTY FOX INC,90130A101,208202,7696922,FOX,,,,,,,,,,,,,,,,,,
421,1061768,201606,TWENTY FIRST CENTY FOX INC,90130A200,198328,7278100,FOX,,,,,,,,,,,,,,,,,,
425,1061768,201606,CHIPMOS TECH BERMUDA LTD,G2110R114,67946,3751853,IMOS,,,,,,,,,,,,,,,,,,
426,1061768,201606,FORWARD PHARMA A/S,34986J105,97524,5367300,FWP,,,,,,,,,,,,,,,,,,
427,1061768,201606,LIBERTY INTERACTIVE CORP,53071M880,91546,2469533,QVCA,,,,,,,,,,,,,,,,,,
428,1061768,201606,SILVER RUN ACQUISITION CORP,82811P119,1425,1250000,SRUNU,,,,,,,,,,,,,,,,,,
429,1061768,201606,SILVER RUN ACQUISITION CORP,82811P101,36750,3750000,SRUNU,,,,,,,,,,,,,,,,,,
430,1061768,201606,SUNEDISON SEMICONDUCTOR LTD,Y8213L102,49652,8372979,SUNEQ,,,,,,,,,,,,,,,,,,
440,1061768,201409,CHIPMOS TECH BERMUDA LTD,G2110R114,74267,3283235,IMOS,,,,,,,,,,,,,,,,,,
441,1061768,201409,SUNEDISON SEMICONDUCTOR LTD,Y8213L102,80213,4145379,SUNEQ,,,,,,,,,,,,,,,,,,
442,1061768,201409,ALLIANCE ONE INTL INC,18772103,12576,6383641,AOI,,,,,,,,,,,,,,,,,,
443,1061768,201409,SYNERON MEDICAL LTD,M87245102,30006,2994610,ELOS,,,,,,,,,,,,,,,,,,
456,1061768,201412,CHIPMOS TECH BERMUDA LTD,G2110R114,76565,3283235,IMOS,,,,,,,,,,,,,,,,,,
457,1061768,201412,FORWARD PHARMA A/S,34986J105,111801,5367300,FWP,,,,,,,,,,,,,,,,,,
458,1061768,201412,SUNEDISON SEMICONDUCTOR LTD,Y8213L102,76980,4145379,SUNEQ,,,,,,,,,,,,,,,,,,
459,1061768,201412,ALLIANCE ONE INTL INC,18772103,10086,6383641,AOI,,,,,,,,,,,,,,,,,,
460,1061768,201412,SYNERON MEDICAL LTD,M87245102,22544,2416310,ELOS,,,,,,,,,,,,,,,,,,
461,1061768,201412,BELLATRIX EXPLORATION LTD,78314101,65898,18103713,BXE.TO,,,,,,,,,,,,,,,,,,
465,1061768,201603,PAYPAL HLDGS INC,70450Y103,272506,7059745,PYPL,FALSE,Q1,2016,10-Q,2544000000,407000000,365000000,0.3,0.3,0,29470000000,21968000000,14362000000,2583000000,13598000000,738000000,325000000,113000000
468,1061768,201512,PAYPAL HLDGS INC,70450Y103,402156,11109278,PYPL,FALSE,FY,2015,10-K,9248000000,1461000000,1228000000,1,1,0,28881000000,20648000000,13617000000,1393000000,13759000000,2546000000,-6389000000,3079000000
472,1061768,201406,IDENIX PHARMACEUTICALS INC,45166R204,1269560,53331109,IDIX,FALSE,Q2,2014,10-Q,-26071000,-64748000,-64462000,-0.43,-0.43,0,197626000,186287000,28257000,177613000,152940000,-57082000,-336000,113064000
478,1061768,201606,PAYPAL HLDGS INC,70450Y103,206796,5664087,PYPL,FALSE,Q2,2016,10-Q,2650000000,371000000,323000000,0.27,0.27,0,30631000000,23457000000,15223000000,2018000000,13817000000,1434000000,-1481000000,657000000
491,1061768,201509,PAYPAL HLDGS INC,70450Y103,338487,10904852,PYPL,FALSE,Q3,2015,10-Q,2258000000,330000000,301000000,0.25,0.25,0,27896000000,20554000000,13072000000,1880000000,13214000000,1818000000,-5132000000,3034000000
521,1061768,201706,CHENIERE ENERGY INC,16411R208,1009580,20726340,LNG,FALSE,Q2,2017,10-Q,1241000000,274000000,-285000000,-1.23,-1.23,0,26600000000,2368000000,840000000,796000000,1004000000,536000000,-2357000000,2538000000
523,1061768,201603,CHENIERE ENERGY INC,16411R208,1009527,29841174,LNG,FALSE,Q1,2016,10-Q,69081000,-90559000,-320838000,-1.41,-1.41,0,20430947000,1946115000,2568623000,1094833000,1204685000,-88690000,-16615000,-974000
526,1061768,201512,CHENIERE ENERGY INC,16411R208,971840,26089669,LNG,FALSE,FY,2015,10-K,270885000,-449313000,-975109000,-4.3,-4.3,0,19019589000,1782586000,2188086000,1201112000,1561403000,-265622000,-659423000,378574000
529,1061768,201406,CHENIERE ENERGY INC,16411R208,429335,5987930,LNG,FALSE,Q2,2014,10-Q,67645000,-62135000,-201928000,-0.9,-0.9,0,11859295000,1591484000,390883000,889887000,2460957000,-11341000,-55283000,-4331000
531,1061768,201409,CHENIERE ENERGY INC,16411R208,896258,11199030,LNG,FALSE,Q3,2014,10-Q,66807000,-61358000,-89581000,-0.4,-0.4,0,11785316000,1509862000,438788000,791656000,2330553000,-41050000,-91634000,-36502000
534,1061768,201606,CHENIERE ENERGY INC,16411R208,1120536,29841174,LNG,FALSE,Q2,2016,10-Q,176827000,-76454000,-298418000,-1.31,-1.31,0,21436851000,1990482000,2414521000,1049478000,864167000,-144034000,-19257000,11657000
536,1061768,201609,CHENIERE ENERGY INC,16411R208,1213953,27842957,LNG,FALSE,Q3,2016,10-Q,465673000,15276000,-100442000,-0.44,-0.44,0,22689080000,2104727000,2608878000,990132000,705739000,-199027000,-12206000,253000
538,1061768,201503,CHENIERE ENERGY INC,16411R208,1068680,13807230,LNG,FALSE,Q1,2015,10-Q,68369000,-60998000,-267709000,-1.18,-1.18,0,14923047000,2703059000,321467000,2158338000,2354371000,-14180000,-64539000,489474000
541,1061768,201612,CHENIERE ENERGY INC,16411R208,900122,21726340,LNG,FALSE,FY,2016,10-K,1283167000,-29367000,-609991000,-2.67,-2.67,0,23702737000,2238318000,1076669000,875836000,838396000,-403842000,-4413411000,4907575000
543,1061768,201412,CHENIERE ENERGY INC,16411R208,972029,13807230,LNG,FALSE,FY,2014,10-K,267954000,-273568000,-547932000,-2.44,-2.44,0,12573683000,2258877000,232475000,1747583000,2501517000,-124119000,-211987000,1122847000
546,1061768,201509,CHENIERE ENERGY INC,16411R208,1094948,22669730,LNG,FALSE,Q3,2015,10-Q,66059000,-52074000,-297808000,-1.31,-1.31,0,18452259000,2086272000,530219000,1340262000,1864931000,-274577000,-528588000,395844000
549,1061768,201506,CHENIERE ENERGY INC,16411R208,1064196,15365230,LNG,FALSE,Q2,2015,10-Q,68025000,-95580000,-118495000,-0.52,-0.52,0,17759502000,2263362000,640839000,1470207000,2215356000,-294955000,-213030000,230609000
552,1061768,201703,CHENIERE ENERGY INC,16411R208,1027004,21726340,LNG,FALSE,Q1,2017,10-Q,1211000000,376000000,54000000,0.23,0.23,0,26056000000,2419000000,871000000,923000000,995000000,309000000,-1290000000,2095000000
553,1061768,201403,CHENIERE ENERGY INC,16411R208,313281,5660000,LNG,FALSE,Q1,2014,10-Q,67550000,-47612000,-97810000,-0.44,,0,9524616000,1468629000,194869000,914603000,2731616000,-18219000,-24013000,-4007000
554,1061768,201806,CHENIERE ENERGY INC,16411R208,925446,14196135,LNG,FALSE,Q2,2018,10-Q,1543000000,336000000,-18000000,-0.07,-0.07,0,30327000000,3966000000,1728000000,874000000,1734000000,982000000,-1492000000,1168000000
555,1061768,201809,CHENIERE ENERGY INC,16411R208,986489,14196135,LNG,FALSE,Q3,2018,10-Q,1819000000,425000000,65000000,0.26,0.26,0,30740000000,3670000000,1350000000,989000000,1831000000,1504000000,-2722000000,1537000000
557,1061768,201803,CHENIERE ENERGY INC,16411R208,1107823,20726340,LNG,FALSE,Q1,2018,10-Q,2242000000,747000000,357000000,1.52,1.5,0,28341000000,3268000000,895000000,715000000,1707000000,469000000,-776000000,116000000
558,1061768,201903,CHENIERE ENERGY INC,16411R208,862588,12618308,LNG,,,,,,,,,,,,,,,,,,
559,1061768,201709,CHENIERE ENERGY INC,16411R208,933514,20726340,LNG,FALSE,Q3,2017,10-Q,1403000000,297000000,-289000000,-1.24,-1.24,0,27134000000,3031000000,1011000000,919000000,1083000000,895000000,-2926000000,2779000000
560,1061768,201812,CHENIERE ENERGY INC,16411R208,840269,14196135,LNG,,,,,,,,,,,,,,,,,,
561,1061768,201712,CHENIERE ENERGY INC,16411R208,1115906,20726340,LNG,FALSE,FY,2017,10-K,5601000000,1388000000,-393000000,-1.68,-1.68,0,27906000000,3369000000,1251000000,722000000,1240000000,1231000000,-3381000000,2936000000
730,1061768,201312,CHIPMOS TECH BERMUDA LTD,G2110R114,63169,3283235,IMOS,,,,,,,,,,,,,,,,,,
731,1061768,201312,ALLIANCE ONE INTL INC,18772103,19470,6383641,AOI,,,,,,,,,,,,,,,,,,
732,1061768,201312,BP PLC,55622104,275444,5666413,BP,,,,,,,,,,,,,,,,,,
733,1061768,201312,SYNERON MEDICAL LTD,M87245102,49200,4000000,ELOS,,,,,,,,,,,,,,,,,,
734,1061768,201312,ROVI CORP,779376102,42530,2160000,TIVO,,,,,,,,,,,,,,,,,,
752,1061768,201406,CHIPMOS TECH BERMUDA LTD,G2110R114,79224,3283235,IMOS,,,,,,,,,,,,,,,,,,
753,1061768,201406,SUNEDISON SEMICONDUCTOR LTD,Y8213L102,70181,4145379,SUNEQ,,,,,,,,,,,,,,,,,,
754,1061768,201406,ALLIANCE ONE INTL INC,18772103,15959,6383641,AOI,,,,,,,,,,,,,,,,,,
755,1061768,201406,SYNERON MEDICAL LTD,M87245102,41280,4000000,ELOS,,,,,,,,,,,,,,,,,,
773,1061768,201306,CHIPMOS TECH BERMUDA LTD,G2110R114,53474,2763530,IMOS,,,,,,,,,,,,,,,,,,
774,1061768,201306,ALLIANCE ONE INTL INC,18772103,29146,7669969,AOI,,,,,,,,,,,,,,,,,,
775,1061768,201306,BP PLC,55622104,776259,18597482,BP,,,,,,,,,,,,,,,,,,
776,1061768,201306,SYNERON MEDICAL LTD,M87245102,34800,4000000,ELOS,,,,,,,,,,,,,,,,,,
