,CIK,end_date,Name,CUSIP,Market value,Share,symbol,amend_x,period_focus_x,fiscal_year_x,doc_type_x,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
45,1061768,201706,COLONY NORTHSTAR INC,19625W104,674988,47905461,CLNY,,,,,,,,,,,,,,,,,,
50,1061768,201703,MCKESSON CORP,58155Q103,148260,1000000,MCK,FALSE,FY,2017,10-K,1.98533E+11,7109000000,5070000000,22.95,22.73,1.12,60969000000,36948000000,35612000000,2783000000,11273000000,4744000000,-3796000000,-2069000000
51,1061768,201703,COLONY NORTHSTAR INC,19625W104,618460,47905461,CLNY,,,,,,,,,,,,,,,,,,
54,1061768,201709,MCKESSON CORP,58155Q103,76805,500000,MCK,FALSE,Q2,2018,10-Q,52061000000,239000000,1000000,0.01,0.01,0.34,63846000000,39794000000,37765000000,2563000000,11362000000,1339000000,-396000000,-1272000000
55,1061768,201709,COLONY NORTHSTAR INC,19625W104,601693,47905461,CLNY,,,,,,,,,,,,,,,,,,
61,1061768,201706,LIBERTY MEDIA CORP DELAWARE,531229888,31244,1303482,LSXMK,,,,,,,,,,,,,,,,,,
67,1061768,201706,TWENTY FIRST CENTY FOX INC,90130A101,542356,19137469,FOX,,,,,,,,,,,,,,,,,,
68,1061768,201706,TWENTY FIRST CENTY FOX INC,90130A200,202841,7278100,FOX,,,,,,,,,,,,,,,,,,
71,1061768,201706,FORWARD PHARMA A/S,34986J105,129381,6364059,FWP,,,,,,,,,,,,,,,,,,
72,1061768,201706,CHIPMOS TECHNOLOGIES INC,16965P103,69390,3509858,IMOS,,,,,,,,,,,,,,,,,,
73,1061768,201706,CONYERS PK ACQUISITION,212894117,3242,1237500,CPAAU,,,,,,,,,,,,,,,,,,
74,1061768,201706,CONYERS PK ACQUISITION,212894109,43733,3712500,CPAAU,,,,,,,,,,,,,,,,,,
75,1061768,201706,DELL TECHNOLOGIES INC,24703L103,345422,5652459,DELL,,,,,,,,,,,,,,,,,,
76,1061768,201706,GTY TECHNOLOGY HOLDINGS INC,G4182A110,46024,4400000,GTYH,,,,,,,,,,,,,,,,,,
77,1061768,201706,SILVER RUN ACQUISITION,82812A103,67016,6615552,SRUNU,,,,,,,,,,,,,,,,,,
78,1061768,201706,SILVER RUN ACQUISITION,82812A111,3953,2205184,SRUNU,,,,,,,,,,,,,,,,,,
88,1061768,201809,TWENTY FIRST CENTY FOX INC,90130A101,2409214,52001167,FOX,,,,,,,,,,,,,,,,,,
89,1061768,201809,TWENTY FIRST CENTY FOX INC,90130A200,793645,17320922,FOX,,,,,,,,,,,,,,,,,,
90,1061768,201809,SHIRE PLC,82481R106,17933,98932,SHPG,,,,,,,,,,,,,,,,,,
91,1061768,201809,GTY TECHNOLOGY HOLDINGS INC,G4182A110,47608,4400000,GTYH,,,,,,,,,,,,,,,,,,
92,1061768,201809,SENTINEL ENERGY SVCS INC,G8062D128,16448,1600000,STNLU,,,,,,,,,,,,,,,,,,
93,1061768,201809,ALTABA INC,21346101,191470,2810775,AABA,,,,,,,,,,,,,,,,,,
94,1061768,201809,NEXEO SOLUTIONS INC,65342H110,2929,2850000,NXEO,,,,,,,,,,,,,,,,,,
95,1061768,201809,YPF SOCIEDAD ANONIMA,984245100,92700,6000000,YPF,,,,,,,,,,,,,,,,,,
108,1061768,201903,GTY TECHNOLOGY HOLDINGS INC,362409112,884,1466666,GTYH,,,,,,,,,,,,,,,,,,
109,1061768,201903,DISNEY WALT CO,254687106,44318,399151,DIS,,,,,,,,,,,,,,,,,,
111,1061768,201903,FOX CORP,35137L105,1003017,27322720,FOXA,,,,,,,,,,,,,,,,,,
112,1061768,201903,FOX CORP,35137L204,203809,5680307,FOXA,,,,,,,,,,,,,,,,,,
113,1061768,201903,GOSSAMER BIO INC,38341P102,26113,1267171,GOSS,,,,,,,,,,,,,,,,,,
114,1061768,201903,TAKEDA PHARMACEUTICAL CO LTD,874060205,217328,10669021,TAK,,,,,,,,,,,,,,,,,,
126,1061768,201712,TWENTY FIRST CENTY FOX INC,90130A101,769630,22288731,FOX,,,,,,,,,,,,,,,,,,
127,1061768,201712,TWENTY FIRST CENTY FOX INC,90130A200,359327,10531258,FOX,,,,,,,,,,,,,,,,,,
128,1061768,201712,FORWARD PHARMA A/S,34986J105,15382,4179940,FWP,,,,,,,,,,,,,,,,,,
129,1061768,201712,CHIPMOS TECHNOLOGIES INC,16965P103,25953,1470408,IMOS,,,,,,,,,,,,,,,,,,
130,1061768,201712,GTY TECHNOLOGY HOLDINGS INC,G4182A110,45379,4400000,GTYH,,,,,,,,,,,,,,,,,,
131,1061768,201712,SENTINEL ENERGY SVCS INC,G8062D128,15952,1600000,STNLU,,,,,,,,,,,,,,,,,,
136,1061768,201609,LIBERTY MEDIA CORP DELAWARE,531229706,13960,800000,LSXMK,,,,,,,,,,,,,,,,,,
137,1061768,201609,LIBERTY MEDIA CORP DELAWARE,531229888,52036,2994010,LSXMK,,,,,,,,,,,,,,,,,,
144,1061768,201609,TWENTY FIRST CENTY FOX INC,90130A101,308719,12746469,FOX,,,,,,,,,,,,,,,,,,
145,1061768,201609,TWENTY FIRST CENTY FOX INC,90130A200,180060,7278100,FOX,,,,,,,,,,,,,,,,,,
148,1061768,201609,CHIPMOS TECH BERMUDA LTD,G2110R114,74287,3751853,IMOS,,,,,,,,,,,,,,,,,,
149,1061768,201609,FORWARD PHARMA A/S,34986J105,112660,5367300,FWP,,,,,,,,,,,,,,,,,,
150,1061768,201609,LIBERTY INTERACTIVE CORP,53071M880,98460,2469533,QVCA,,,,,,,,,,,,,,,,,,
151,1061768,201609,SILVER RUN ACQUISITION CORP,82811P119,5273,950000,SRUNU,,,,,,,,,,,,,,,,,,
152,1061768,201609,SILVER RUN ACQUISITION CORP,82811P101,59063,3750000,SRUNU,,,,,,,,,,,,,,,,,,
