,Unnamed: 0,symble,Name
263,263,enzn,ENZON PHARMACEUTICALS INC
264,264,lock,LIFELOCK INC
265,265,cdk,CDK GLOBAL INC
266,266,ng,NOVAGOLD RES INC
267,267,VRX,VALEANT PHARMACEUTICALS INTL
268,268,KORS,MICHAEL KORS HLDGS LTD
269,269,QUAD,QUAD / GRAPHICS INC
270,270,NKE,NIKE INC
271,271,MSFT,MICROSOFT CORP
272,272,Endp,ENDO HEALTH SOLUTIONS INC
273,273,TMUS,T MOBILE US INC
274,274,SCHW,SCHWAB CHARLES CORP NEW
275,275,SHLD,SEARS HLDGS CORP
276,276,QRVO,TRINQUINT SEMICONDUCTOR INC
277,277,VMC,VULCAN MATLS CO
278,278,AABA,ALTABA INC
279,279,SRUNU,SILVER RUN ACQUISITION
280,280,TSLA,TESLA MTRS INC
281,281,vmw,VMWARE INC
282,282,WWE,WORLD WRESTLING ENTMT INC
283,283,RLGY,REALOGY HLDGS CORP
284,284,NIO,NIO INC
285,285,ocn,OCWEN FINL CORP
286,286,ELOS,SYNERON MEDICAL LTD
287,287,TSLA,TESLA INC
288,288,DHI,D R HORTON INC
289,289,SQ,SQUARE INC
290,290,IQV,IQVIA HLDGS INC
291,291,bxlt,BAXALTA INC
292,292,AGN,ACTAVIS PLC
293,293,ISRG,INTUITIVE SURGICAL INC
294,294,SPGI,S&P GLOBAL INC
295,295,KMI,KINDER MORGAN INC DEL
296,296,ATRA,ATARA BIOTHERAPEUTICS INC
297,297,kin,KINDRED BIOSCIENCES INC
298,298,KGC,KINROSS GOLD CORP
299,299,PCLN,PRICELINE GRP INC
300,300,STNLU,SENTINEL ENERGY SVCS INC
301,301,CHTR,CHARTER COMMUNICATIONS INC D
302,302,AXP,AMERICAN EXPRESS CO
303,303,BXE.TO,BELLATRIX EXPLORATION LTD
