,symble,Name
160,STZ,CONSTELLATION BRANDS INC
161,lbtya,LIBERTY GLOBAL PLC
162,KLXI,KLX INC
163,INVA,INNOVIVA INC
164,kos,KOSMOS ENERGY LTD
165,CHK,CHESAPEAKE ENERGY CORP
166,CASC,CASCADIAN THERAPEUTICS INC
167,ATUS,ALTICE USA INC
168,symc,SYMANTEC CORP
169,car,AVIS BUDGET GROUP
170,A,AGILENT TECHNOLOGIES INC
171,SHPG,SHIRE PLC
172,ADSK,AUTODESK INC
173,FXE,CURRENCYSHARES EURO TR
174,FDC,FIRST DATA CORP NEW
175,TMO,THERMO FISHER SCIENTIFIC INC
176,cdev,CENTENNIAL RESOURCE DEV INC
177,WBA,WALGREENS BOOTS ALLIANCE INC
178,trco,TRIBUNE MEDIA CO
179,COO,COOPER COS INC
180,WYNN,WYNN RESORTS LTD
181,FWP,FORWARD PHARMA A/S
182,SYF,SYNCHRONY FINL
183,aap,ADVANCE AUTO PARTS INC
184,MU,MICRON TECHNOLOGY INC
185,BYD,BOYD GAMING CORP
186,CSX,CSX CORP
187,SVXY,PROSHARES TR II
188,AAL,AMERICAN AIRLS GROUP INC
189,an,AUTONATION INC
190,jazz,JAZZ PHARMACEUTICALS PLC
191,IBN,ICICI BK LTD
192,mjn,MEAD JOHNSON NUTRITION CO
193,VNTV,VANTIV INC
194,MA,MASTERCARD INCORPORATED
195,SYNN,SYNGENTA AG
196,SBGI,SINCLAIR BROADCAST GROUP INC
197,news,ARISTA NETWORKS INC
198,CP,CANADIAN PAC RY LTD
199,SCACU,SABAN CAP ACQUISITION CORP
200,orex,OREXIGEN THERAPEUTICS INC
201,UA,UNDER ARMOUR INC
202,NOW,SERVICENOW INC
203,dltr,DOLLAR TREE INC
204,DG,DOLLAR GEN CORP NEW
205,ALGN,ALIGN TECHNOLOGY INC
206,SFUN,SOUFUN HLDGS LTD
207,RICE,RICE ENERGY INC
208,HDB,HDFC BANK LTD
209,HRB,BLOCK H & R INC
210,BB,BLACKBERRY LTD
211,BABA,ALIBABA GROUP HLDG LTD
212,UNP,UNION PAC CORP
213,wbc,WABCO HLDGS INC
214,SUNEQ,SUNEDISON SEMICONDUCTOR LTD
215,BAC,BANK AMER CORP
216,nxst,NEXSTAR MEDIA GROUP INC
217,Mon,MONSANTO CO NEW
218,ALDW,ALON USA PARTNERS LP
219,lng,CHENIERE ENERGY INC
220,bp,BP PLC
221,COMM,COMMSCOPE HLDG CO INC
222,hznp,HORIZON PHARMA PLC
223,COMM,COMMSCOPE HOLDING CO INC
224,SHOP,SHOPIFY INC
225,GPS,GAP INC DEL
226,mhfi,MCGRAW HILL FINL INC
227,RIG,TRANSOCEAN LTD
228,flt,FLEETCOR TECHNOLOGIES INC
229,MTG,MGIC INVT CORP WIS
230,FTR,FRONTIER COMMUNICATIONS CORP
231,news,PAYPAL HLDGS INC
232,BEAV%2CGIL,B/E AEROSPACE INC
233,goog,GOOGLE INC
234,TWX,TIME WARNER INC
235,ULTA,ULTA BEAUTY INC
236,unp,UNION PACIFIC CORP
237,GRA,GRACE W R & CO DEL NEW
238,exas,EXACT SCIENCES CORP
239,abc,AMERISOURCEBERGEN CORP
240,lq,LA QUINTA HLDGS INC
241,GOOG,ALPHABET INC
242,LOW,LOWES COS INC
243,HLT,HILTON WORLDWIDE HLDGS INC
244,SUNEQ,SUNEDISON INC
245,DEO,DIAGEO P L C
246,TIF,TIFFANY & CO NEW
247,ADBE,ADBOE SYS INC
248,SWI,SOLARWINDS INC
249,VRSN,VERISIGN INC
250,sbh,SALLY BEAUTY HLDGS INC
251,SRC,SPIRIT RLTY CAP INC NEW
252,BUD,ANHEUSER BUSCH INBEV SA/NV
253,akba,AKEBIA THERAPEUTICS INC
254,LL,LUMBER LIQUIDATORS HLDGS INC
255,PAGS,PAGSEGURO DIGITAL LTD
256,CTSH,COGNIZANT TECHNOLOGY SOLUTIO
257,nwsa,NEWS CORP
258,auy,YAMANA GOLD INC
259,cacc,CREDIT ACCEP CORP MICH
260,NSAM,NORTHSTAR ASSET MGMT GROUP I
261,CELG,CELGENE CORP
262,save,SPIRIT AIRLS INC
263,enzn,ENZON PHARMACEUTICALS INC
264,lock,LIFELOCK INC
265,cdk,CDK GLOBAL INC
266,ng,NOVAGOLD RES INC
267,VRX,VALEANT PHARMACEUTICALS INTL
268,kors,MICHAEL KORS HLDGS LTD
269,QUAD,QUAD / GRAPHICS INC
270,NKE,NIKE INC
271,MSFT,MICROSOFT CORP
272,Endp,ENDO HEALTH SOLUTIONS INC
273,TMUS,T MOBILE US INC
274,SCHW,SCHWAB CHARLES CORP NEW
275,SHLD,SEARS HLDGS CORP
276,QRVO,TRINQUINT SEMICONDUCTOR INC
277,VMC,VULCAN MATLS CO
278,AABA,ALTABA INC
279,srunu,SILVER RUN ACQUISITION
280,TSLA,TESLA MTRS INC
281,vmw,VMWARE INC
282,WWE,WORLD WRESTLING ENTMT INC
283,RLGY,REALOGY HLDGS CORP
284,NIO,NIO INC
285,ocn,OCWEN FINL CORP
286,quote,SYNERON MEDICAL LTD
287,TSLA,TESLA INC
288,DHI,D R HORTON INC
289,SQ,SQUARE INC
290,IQV,IQVIA HLDGS INC
291,bxlt,BAXALTA INC
292,AGN,ACTAVIS PLC
293,ISRG,INTUITIVE SURGICAL INC
294,SPGI,S&P GLOBAL INC
295,KMI,KINDER MORGAN INC DEL
296,ATRA,ATARA BIOTHERAPEUTICS INC
297,kin,KINDRED BIOSCIENCES INC
298,Kgc,KINROSS GOLD CORP
299,PCLN,PRICELINE GRP INC
300,STNLU,SENTINEL ENERGY SVCS INC
301,CHTR,CHARTER COMMUNICATIONS INC D
302,AXP,AMERICAN EXPRESS CO
303,BXE.TO,BELLATRIX EXPLORATION LTD
